Feature,Top Mean,Bottom Mean,tokens to include,tokens to avoid,Importance
AGO,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
AHEAD,0.004112969564025226,0.0016451878256100905,2.5,0.4,0.0
AI,0.0005483959418700301,0.0008225939128050452,0.6666666666666666,1.5,0.0
AINT,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
AIR,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
AIRBNB,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
AIRDROP,0.0013709898546750755,0.0010967918837400603,1.2500000000000002,0.7999999999999999,0.0
AIRDROPS,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
AK,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
ALACAĞIM,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
ALARMING,0.0008225939128050452,0.00027419797093501506,3.0,0.3333333333333333,0.0
ALBT,0.0008225939128050452,0.0008225939128050452,1.0,1.0,0.0
ALCHEMY,0.00027419797093501506,0.0021935837674801205,0.125,8.0,0.0
ALDIK,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
ALERT,0.015080888401425829,0.003838771593090211,3.9285714285714284,0.2545454545454545,0.0017322706948985978
ALERTS,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
ALGO,0.0021935837674801205,0.0005483959418700301,4.0,0.25,0.0
ALGORAND,0.0010967918837400603,0.00027419797093501506,4.0,0.25,0.0
ALGORITHM,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
ALIEN,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
ALIVE,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
ALL,0.02166163970386619,0.011242116808335619,1.9268292682926829,0.5189873417721519,0.0
ALLIANCE,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
ALLIANCEBLOCK,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
ALLOCATE,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
ALLOCATION,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
ALLOW,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
ALMOST,0.0010967918837400603,0.0010967918837400603,1.0,1.0,0.0
ALOHA,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
ALOT,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
ALPHA,0.00027419797093501506,0.0010967918837400603,0.25,4.0,0.0
ALPHADEX,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
ALREADY,0.00027419797093501506,0.0013709898546750755,0.19999999999999998,5.000000000000001,0.0
ALSO,0.0005483959418700301,0.0005483959418700301,1.0,1.0,0.0
ALT,0.0008225939128050452,0.0010967918837400603,0.75,1.3333333333333333,0.0
ALTCOIN,0.01562928434329586,0.012613106663010694,1.2391304347826089,0.8070175438596491,0.0
ALTCOINLER,0.0010967918837400603,0.00027419797093501506,4.0,0.25,0.0
ALTCOINS,0.03619413216342199,0.015903482314230874,2.2758620689655173,0.4393939393939394,0.013897604556983849
ALTERNATIVE,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
ALTS,0.0005483959418700301,0.0005483959418700301,1.0,1.0,0.0
ALTSEASON,0.0008225939128050452,0.00027419797093501506,3.0,0.3333333333333333,0.0
ALTSWITCH,0.00027419797093501506,0.0010967918837400603,0.25,4.0,0.0
ALWAYS,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
AM,0.002741979709350151,0.002741979709350151,1.0,1.0,0.0
AMA,0.0008225939128050452,0.003016177680285166,0.2727272727272727,3.666666666666667,0.0
AMAZING,0.0019193857965451055,0.003290375651220181,0.5833333333333333,1.7142857142857144,0.0
AMAZON,0.0010967918837400603,0.0005483959418700301,2.0,0.5,0.0
AMBIRE,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
AMC,0.0010967918837400603,0.0008225939128050452,1.3333333333333333,0.75,0.0
AMD,0.00027419797093501506,0.0008225939128050452,0.3333333333333333,3.0,0.0
AMERICA,0.0005483959418700301,0.0008225939128050452,0.6666666666666666,1.5,0.0
AMERICAN,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
AMID,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
AMONG,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
AMOUNT,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
AMOUNTS,0.0005483959418700301,0.0005483959418700301,1.0,1.0,0.0
AMP,0.00027419797093501506,0.0008225939128050452,0.3333333333333333,3.0,0.0
AMZN,0.0019193857965451055,0.00027419797093501506,7.0,0.14285714285714285,0.0
AN,0.0024677817384151355,0.0021935837674801205,1.125,0.888888888888889,0.0
ANALYSIS,0.010693720866465589,0.029064984919111598,0.3679245283018868,2.7179487179487176,0.0341120209607096
ANALYST,0.0010967918837400603,0.00027419797093501506,4.0,0.25,0.0
ANAYLSIS,0.0008225939128050452,0.00027419797093501506,3.0,0.3333333333333333,0.0
ANC,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
AND,0.030984370715656705,0.020290649849191118,1.527027027027027,0.6548672566371682,0.00042937493896220405
ANGER,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
ANGRY,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
ANIMALS,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
ANIME,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
ANKR,0.00027419797093501506,0.0016451878256100905,0.16666666666666666,6.0,0.0
ANNIVERSARY,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
ANNOUCEMENT,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
ANNOUNCE,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
ANNOUNCED,0.0010967918837400603,0.00027419797093501506,4.0,0.25,0.0
ANNOUNCEMENT,0.0021935837674801205,0.0008225939128050452,2.6666666666666665,0.375,0.0
ANNOUNCEMENTS,0.0005483959418700301,0.0005483959418700301,1.0,1.0,0.0
ANOTHER,0.0024677817384151355,0.0010967918837400603,2.25,0.4444444444444445,0.0
ANOTHERE,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
ANSWER,0.0008225939128050452,0.00027419797093501506,3.0,0.3333333333333333,0.0
ANSWERING,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
ANTHONY,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
ANTICIPATING,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
ANTICIPATION,0.0008225939128050452,0.00027419797093501506,3.0,0.3333333333333333,0.0
ANTICIPATIONS,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
ANTIDOTE,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
ANY,0.0019193857965451055,0.0005483959418700301,3.5,0.2857142857142857,0.0
ANYMORE,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
ANYONE,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
ANYTHING,0.0010967918837400603,0.0005483959418700301,2.0,0.5,0.0
AOC,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
AOKI,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
APE,0.0010967918837400603,0.0016451878256100905,0.6666666666666666,1.5,0.0
APECOIN,0.0024677817384151355,0.004935563476830271,0.5,2.0,0.0
APESH,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
API,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
APOLLO,0.00027419797093501506,0.0021935837674801205,0.125,8.0,0.0
APP,0.00027419797093501506,0.0013709898546750755,0.19999999999999998,5.000000000000001,0.0
APPEARANCE,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
APPEARS,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
APPLE,0.0010967918837400603,0.0021935837674801205,0.5,2.0,0.0
APPLICATION,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
APPROACHES,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
APPROACHING,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
APPROVED,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
APR,0.0005483959418700301,0.0008225939128050452,0.6666666666666666,1.5,0.0
APRIL,0.0008225939128050452,0.0005483959418700301,1.5,0.6666666666666666,0.0
APY,0.0005483959418700301,0.0016451878256100905,0.3333333333333333,3.0,0.0
AR,0.0005483959418700301,0.0019193857965451055,0.2857142857142857,3.5,0.0
ARCULUS,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
ARE,0.029339182890046615,0.012064710721140664,2.4318181818181817,0.411214953271028,0.0
AREAS,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
ARENA,0.0010967918837400603,0.00027419797093501506,4.0,0.25,0.0
ARGENTINA,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
ARGO,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
ARIZONA,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
ARK,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
ARMED,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
ARMY,0.0016451878256100905,0.0008225939128050452,2.0,0.5,0.0
ARNOLD,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
AROUND,0.0008225939128050452,0.00027419797093501506,3.0,0.3333333333333333,0.0
ARRIVED,0.0010967918837400603,0.00027419797093501506,4.0,0.25,0.0
ARRIVES,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
ARRIVING,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
ARSENAL,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
ARTHUR,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
ARTIST,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
AS,0.004112969564025226,0.003016177680285166,1.3636363636363635,0.7333333333333334,0.0
ASAP,0.008500137098985467,0.0005483959418700301,15.5,0.06451612903225806,0.0023081964620107905
ASK,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
ASKED,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
ASM,0.00027419797093501506,0.0008225939128050452,0.3333333333333333,3.0,0.0
ASSESSING,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
ASSET,0.0005483959418700301,0.0005483959418700301,1.0,1.0,0.0
ASSETS,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
ASSSET,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
ASTONISHING,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
ASTRONOMICAL,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
AT,0.007403345215245407,0.003564573622155196,2.076923076923077,0.4814814814814815,0.0
ATH,0.0019193857965451055,0.0005483959418700301,3.5,0.2857142857142857,0.0
ATHS,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
ATMS,0.00027419797093501506,0.0008225939128050452,0.3333333333333333,3.0,0.0
ATMs,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
ATOM,0.0008225939128050452,0.0024677817384151355,0.33333333333333337,2.9999999999999996,0.0
ATTACK,0.0005483959418700301,0.0008225939128050452,0.6666666666666666,1.5,0.0
ATTACKED,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
ATTACKING,0.0005483959418700301,0.0005483959418700301,1.0,1.0,0.0
ATTACKS,0.0010967918837400603,0.0005483959418700301,2.0,0.5,0.0
ATTENTION,0.005483959418700302,0.0021935837674801205,2.5000000000000004,0.39999999999999997,0.0
AUDIO,0.0005483959418700301,0.0008225939128050452,0.6666666666666666,1.5,0.0
AUDIT,0.00027419797093501506,0.0010967918837400603,0.25,4.0,0.0
AUM,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
AUSTIN,0.0016451878256100905,0.0005483959418700301,3.0,0.3333333333333333,0.0
AUSTRALIAN,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
AUTHOR,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
AUTO,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
AVAILABLE,0.0008225939128050452,0.00027419797093501506,3.0,0.3333333333333333,0.0
AVALANCE,0.00027419797093501506,0.0013709898546750755,0.19999999999999998,5.000000000000001,0.0
AVALANCHE,0.0013709898546750755,0.0024677817384151355,0.5555555555555556,1.7999999999999998,0.0
AVAX,0.003016177680285166,0.012064710721140664,0.25,4.0,0.0
AVERAGE,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
AVERAGES,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
AVERTED,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
AVOID,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
AVOIDED,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
AVOIDING,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
AWAITS,0.0010967918837400603,0.00027419797093501506,4.0,0.25,0.0
AWARE,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
AWAY,0.0010967918837400603,0.0008225939128050452,1.3333333333333333,0.75,0.0
AWS,0.00027419797093501506,0.0008225939128050452,0.3333333333333333,3.0,0.0
AXC,0.00027419797093501506,0.0008225939128050452,0.3333333333333333,3.0,0.0
AXIA,0.00027419797093501506,0.0008225939128050452,0.3333333333333333,3.0,0.0
AXIE,0.0008225939128050452,0.0005483959418700301,1.5,0.6666666666666666,0.0
AXS,0.0008225939128050452,0.0010967918837400603,0.75,1.3333333333333333,0.0
AZ,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
Aada,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
Aarika,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
Aave,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
Aboard,0.0005483959418700301,0.0005483959418700301,1.0,1.0,0.0
About,0.013984096517685769,0.011790512750205649,1.1860465116279069,0.8431372549019608,0.0
Above,0.0005483959418700301,0.0013709898546750755,0.39999999999999997,2.5000000000000004,0.0
Abra,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
Absolute,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
Absolutely,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
Abused,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
Acceleration,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
Accelerator,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
Accept,0.0005483959418700301,0.0005483959418700301,1.0,1.0,0.0
Accepting,0.00027419797093501506,0.0008225939128050452,0.3333333333333333,3.0,0.0
Accepts,0.00027419797093501506,0.0008225939128050452,0.3333333333333333,3.0,0.0
Access,0.00027419797093501506,0.0008225939128050452,0.3333333333333333,3.0,0.0
Accidentally,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
According,0.0005483959418700301,0.0005483959418700301,1.0,1.0,0.0
Account,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
Accounting,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
Accounts,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
Accumulate,0.0005483959418700301,0.0008225939128050452,0.6666666666666666,1.5,0.0
Accumulated,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
Accumulating,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
Accumulation,0.0016451878256100905,0.00027419797093501506,6.0,0.16666666666666666,0.0
Accuracy,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
Achieving,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
Acquire,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
Acquires,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
Acquisition,0.00027419797093501506,0.0008225939128050452,0.3333333333333333,3.0,0.0
Across,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
Act,0.0005483959418700301,0.0008225939128050452,0.6666666666666666,1.5,0.0
Action,0.0016451878256100905,0.0010967918837400603,1.5,0.6666666666666666,0.0
Activated,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
Active,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
Activision,0.00027419797093501506,0.0019193857965451055,0.14285714285714285,7.0,0.0
Activity,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
Actual,0.0005483959418700301,0.0005483959418700301,1.0,1.0,0.0
Actually,0.0008225939128050452,0.0008225939128050452,1.0,1.0,0.0
Ad,0.0005483959418700301,0.0008225939128050452,0.6666666666666666,1.5,0.0
Ada,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
Adam,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
Add,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
Added,0.00027419797093501506,0.0008225939128050452,0.3333333333333333,3.0,0.0
Adding,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
Addition,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
Address,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
Addresses,0.00027419797093501506,0.0010967918837400603,0.25,4.0,0.0
Addressing,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
Adds,0.00027419797093501506,0.0010967918837400603,0.25,4.0,0.0
Adidas,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
Admits,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
Admitted,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
Adopt,0.0005483959418700301,0.0010967918837400603,0.5,2.0,0.0
Adopting,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
Adoption,0.0019193857965451055,0.0021935837674801205,0.875,1.1428571428571428,0.0
Adopts,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
Ads,0.00027419797093501506,0.0008225939128050452,0.3333333333333333,3.0,0.0
Adshares,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
Advantage,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
Advertisement,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
Advertising,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
Advice,0.0005483959418700301,0.0005483959418700301,1.0,1.0,0.0
Advisor,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
Affect,0.00027419797093501506,0.0008225939128050452,0.3333333333333333,3.0,0.0
Affects,0.0005483959418700301,0.0005483959418700301,1.0,1.0,0.0
Affirm,0.00027419797093501506,0.0008225939128050452,0.3333333333333333,3.0,0.0
Affordable,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
Afghanistan,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
Afraid,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
Africa,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
After,0.0019193857965451055,0.003564573622155196,0.5384615384615384,1.8571428571428572,0.0
Again,0.003290375651220181,0.0024677817384151355,1.3333333333333335,0.7499999999999999,0.0
Against,0.0010967918837400603,0.0013709898546750755,0.7999999999999999,1.2500000000000002,0.0
Age,0.00027419797093501506,0.0008225939128050452,0.3333333333333333,3.0,0.0
Aggregator,0.00027419797093501506,0.0008225939128050452,0.3333333333333333,3.0,0.0
Aggressive,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
Aging,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
Ago,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
Agreement,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
Ahead,0.003290375651220181,0.003564573622155196,0.9230769230769231,1.0833333333333333,0.0
Aid,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
Aids,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
Aimed,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
Aiming,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
AirBnB,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
Airbnb,0.00027419797093501506,0.0008225939128050452,0.3333333333333333,3.0,0.0
Airdrop,0.0008225939128050452,0.0008225939128050452,1.0,1.0,0.0
Airdropping,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
Airdrops,0.0013709898546750755,0.00027419797093501506,5.000000000000001,0.19999999999999998,0.0
Alchemy,0.00027419797093501506,0.0013709898546750755,0.19999999999999998,5.000000000000001,0.0
Alden,0.0010967918837400603,0.0008225939128050452,1.3333333333333333,0.75,0.0
Alert,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
Alerts,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
Alessio,0.005483959418700302,0.00027419797093501506,20.000000000000004,0.049999999999999996,0.0
Alex,0.0016451878256100905,0.00027419797093501506,6.0,0.16666666666666666,0.0
Alexander,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
Alexis,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
Algo,0.0005483959418700301,0.0010967918837400603,0.5,2.0,0.0
Algorand,0.0005483959418700301,0.0019193857965451055,0.2857142857142857,3.5,0.0
Algorithm,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
Algorithms,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
Alice,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
Alive,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
